GameDate,GameStartET,DateId,VisitorTeamName,VisitorPoints,HomeTeamName,HomePoints,Overtime,Attendance,ArenaName
2017-11-05,9:30p,20,Memphis Grizzlies,102,Los Angeles Lakers,107,,18997,Staples Center
2017-11-06,7:30p,21,Boston Celtics,110,Atlanta Hawks,107,,13215,State Farm Arena
2017-11-06,9:00p,21,Brooklyn Nets,98,Phoenix Suns,92,,15905,Talking Stick Resort Arena
2017-11-06,10:30p,21,Miami Heat,80,Golden State Warriors,97,,19596,Chase Center
2017-11-07,7:00p,22,Milwaukee Bucks,119,Cleveland Cavaliers,124,,20562,Rocket Mortgage FieldHouse
2017-11-07,7:00p,22,New Orleans Pelicans,117,Indiana Pacers,112,,15014,Bankers Life Fieldhouse
2017-11-07,7:00p,22,Dallas Mavericks,113,Washington Wizards,99,,14505,Capital One Arena
2017-11-07,7:30p,22,Charlotte Hornets,113,New York Knicks,118,,18704,Madison Square Garden
2017-11-07,7:30p,22,Chicago Bulls,114,Toronto Raptors,119,,19800,Scotiabank Arena
2017-11-07,8:30p,22,Los Angeles Clippers,107,San Antonio Spurs,120,,18418,AT&T Center
2017-11-07,9:00p,22,Brooklyn Nets,104,Denver Nuggets,112,,14058,Pepsi Center
2017-11-07,9:00p,22,Philadelphia 76ers,104,Utah Jazz,97,,16063,Vivint Smart Home Arena
2017-11-07,10:00p,22,Memphis Grizzlies,98,Portland Trail Blazers,97,,18692,Moda Center
2017-11-07,10:00p,22,Oklahoma City Thunder,86,Sacramento Kings,94,,17583,Golden 1 Center
2017-11-08,7:00p,23,Indiana Pacers,97,Detroit Pistons,114,,14407,Little Caesars Arena
2017-11-08,7:00p,23,New York Knicks,99,Orlando Magic,112,,18803,Amway Center
2017-11-08,8:00p,23,Los Angeles Lakers,96,Boston Celtics,107,,18624,TD Garden
2017-11-08,9:00p,23,Miami Heat,126,Phoenix Suns,115,,16500,Talking Stick Resort Arena
2017-11-08,10:30p,23,Minnesota Timberwolves,101,Golden State Warriors,125,,19596,Chase Center
2017-11-09,7:00p,24,Los Angeles Lakers,95,Washington Wizards,111,,20356,Capital One Arena
2017-11-09,7:30p,24,New Orleans Pelicans,118,Toronto Raptors,122,,19800,Scotiabank Arena
2017-11-09,8:00p,24,Cleveland Cavaliers,113,Houston Rockets,117,,18055,Toyota Center
2017-11-09,10:00p,24,Philadelphia 76ers,108,Sacramento Kings,109,,17583,Golden 1 Center
2017-11-09,10:30p,24,Oklahoma City Thunder,94,Denver Nuggets,102,,19520,Pepsi Center
2017-11-10,7:00p,25,Atlanta Hawks,104,Detroit Pistons,111,,16687,Little Caesars Arena
2017-11-10,7:30p,25,Charlotte Hornets,87,Boston Celtics,90,,18624,TD Garden
2017-11-10,8:00p,25,Indiana Pacers,105,Chicago Bulls,87,,22416,United Center
2017-11-10,9:00p,25,Los Angeles Clippers,111,Oklahoma City Thunder,120,,18203,Chesapeake Energy Arena
2017-11-10,9:00p,25,Orlando Magic,128,Phoenix Suns,112,,16507,Talking Stick Resort Arena
2017-11-10,9:00p,25,Milwaukee Bucks,94,San Antonio Spurs,87,,18418,AT&T Center
2017-11-10,9:00p,25,Miami Heat,84,Utah Jazz,74,,18306,Vivint Smart Home Arena
2017-11-10,10:00p,25,Brooklyn Nets,101,Portland Trail Blazers,97,,19393,Moda Center
2017-11-11,7:00p,26,Los Angeles Clippers,103,New Orleans Pelicans,111,,17624,Smoothie King Center
2017-11-11,7:00p,26,Atlanta Hawks,94,Washington Wizards,113,,17260,Capital One Arena
2017-11-11,8:00p,26,Memphis Grizzlies,96,Houston Rockets,111,,18055,Toyota Center
2017-11-11,8:00p,26,Sacramento Kings,91,New York Knicks,118,,19812,Madison Square Garden
2017-11-11,8:30p,26,Cleveland Cavaliers,111,Dallas Mavericks,104,,20378,American Airlines Center
2017-11-11,8:30p,26,Philadelphia 76ers,114,Golden State Warriors,135,,19596,Chase Center
2017-11-11,8:30p,26,Los Angeles Lakers,90,Milwaukee Bucks,98,,18717,Fiserv Forum
2017-11-11,8:30p,26,Chicago Bulls,94,San Antonio Spurs,133,,18418,AT&T Center
2017-11-11,9:00p,26,Orlando Magic,107,Denver Nuggets,125,,16688,Pepsi Center
2017-11-11,9:00p,26,Minnesota Timberwolves,110,Phoenix Suns,118,,16910,Talking Stick Resort Arena
2017-11-11,9:00p,26,Brooklyn Nets,106,Utah Jazz,114,,17413,Vivint Smart Home Arena
2017-11-12,3:30p,27,Toronto Raptors,94,Boston Celtics,95,,18624,TD Garden
2017-11-12,4:00p,27,Miami Heat,103,Detroit Pistons,112,,16236,Little Caesars Arena
2017-11-12,6:00p,27,Houston Rockets,118,Indiana Pacers,95,,15581,Bankers Life Fieldhouse
2017-11-12,7:00p,27,Dallas Mavericks,99,Oklahoma City Thunder,112,,18203,Chesapeake Energy Arena
2017-11-13,7:00p,28,Sacramento Kings,92,Washington Wizards,110,,14660,Capital One Arena
2017-11-13,7:30p,28,Cleveland Cavaliers,104,New York Knicks,101,,19812,Madison Square Garden
2017-11-13,8:00p,28,Memphis Grizzlies,103,Milwaukee Bucks,110,,13244,Fiserv Forum
2017-11-13,8:00p,28,Atlanta Hawks,105,New Orleans Pelicans,106,,14631,Smoothie King Center
2017-11-13,9:00p,28,Los Angeles Lakers,100,Phoenix Suns,93,,17533,Talking Stick Resort Arena
2017-11-13,9:00p,28,Minnesota Timberwolves,109,Utah Jazz,98,,17236,Vivint Smart Home Arena
2017-11-13,10:00p,28,Denver Nuggets,82,Portland Trail Blazers,99,,18895,Moda Center
2017-11-13,10:30p,28,Orlando Magic,100,Golden State Warriors,110,,19596,Chase Center
2017-11-13,10:30p,28,Philadelphia 76ers,109,Los Angeles Clippers,105,,19068,Staples Center
2017-11-14,7:30p,29,Boston Celtics,109,Brooklyn Nets,102,,17732,Barclays Center
2017-11-14,8:00p,29,Toronto Raptors,129,Houston Rockets,113,,18055,Toyota Center
2017-11-14,8:30p,29,San Antonio Spurs,97,Dallas Mavericks,91,,19535,American Airlines Center
2017-11-15,7:30p,30,Sacramento Kings,80,Atlanta Hawks,126,,13860,State Farm Arena
2017-11-15,7:30p,30,Washington Wizards,102,Miami Heat,93,,19600,American Airlines Arena
2017-11-15,7:30p,30,Utah Jazz,101,New York Knicks,106,,18695,Madison Square Garden
2017-11-15,8:00p,30,Cleveland Cavaliers,115,Charlotte Hornets,107,,19427,Spectrum Center
2017-11-15,8:00p,30,Indiana Pacers,116,Memphis Grizzlies,113,,16033,FedExForum
2017-11-15,8:00p,30,Detroit Pistons,95,Milwaukee Bucks,99,,14594,Fiserv Forum
2017-11-15,8:00p,30,San Antonio Spurs,86,Minnesota Timberwolves,98,,18978,Target Center
2017-11-15,8:00p,30,Toronto Raptors,125,New Orleans Pelicans,116,,15654,Smoothie King Center
2017-11-15,8:00p,30,Chicago Bulls,79,Oklahoma City Thunder,92,,18203,Chesapeake Energy Arena
2017-11-15,10:00p,30,Orlando Magic,94,Portland Trail Blazers,99,,19206,Moda Center
2017-11-15,10:30p,30,Philadelphia 76ers,115,Los Angeles Lakers,109,,18997,Staples Center
2017-11-16,8:00p,31,Golden State Warriors,88,Boston Celtics,92,,18624,TD Garden
2017-11-16,10:30p,31,Houston Rockets,142,Phoenix Suns,116,,16875,Talking Stick Resort Arena
2017-11-17,7:00p,32,Detroit Pistons,100,Indiana Pacers,107,,17188,Bankers Life Fieldhouse
2017-11-17,7:00p,32,Miami Heat,91,Washington Wizards,88,,17551,Capital One Arena
2017-11-17,7:30p,32,Utah Jazz,107,Brooklyn Nets,118,,14495,Barclays Center
2017-11-17,7:30p,32,Los Angeles Clippers,113,Cleveland Cavaliers,118,OT,20562,Rocket Mortgage FieldHouse
2017-11-17,7:30p,32,New York Knicks,84,Toronto Raptors,107,,19800,Scotiabank Arena
2017-11-17,8:00p,32,Charlotte Hornets,120,Chicago Bulls,123,,20493,United Center
2017-11-17,8:00p,32,Oklahoma City Thunder,101,San Antonio Spurs,104,,18418,AT&T Center
2017-11-17,8:30p,32,Minnesota Timberwolves,111,Dallas Mavericks,87,,19459,American Airlines Center
2017-11-17,10:00p,32,Portland Trail Blazers,82,Sacramento Kings,86,,17583,Golden 1 Center
2017-11-17,10:30p,32,New Orleans Pelicans,114,Denver Nuggets,146,,16816,Pepsi Center
2017-11-17,10:30p,32,Phoenix Suns,122,Los Angeles Lakers,113,,18997,Staples Center
2017-11-18,7:00p,33,Los Angeles Clippers,87,Charlotte Hornets,102,,17640,Spectrum Center
2017-11-18,7:00p,33,Utah Jazz,125,Orlando Magic,85,,19157,Amway Center
2017-11-18,7:30p,33,Boston Celtics,110,Atlanta Hawks,99,,16381,State Farm Arena
2017-11-18,7:30p,33,Golden State Warriors,124,Philadelphia 76ers,116,,20848,Wells Fargo Center
2017-11-18,8:00p,33,Houston Rockets,105,Memphis Grizzlies,83,,17266,FedExForum
2017-11-18,9:00p,33,Milwaukee Bucks,79,Dallas Mavericks,111,,19949,American Airlines Center
2017-11-18,10:00p,33,Sacramento Kings,90,Portland Trail Blazers,102,,19522,Moda Center
2017-11-19,3:30p,34,Washington Wizards,91,Toronto Raptors,100,,19800,Scotiabank Arena
2017-11-19,5:00p,34,Indiana Pacers,120,Miami Heat,95,,19600,American Airlines Arena
2017-11-19,6:00p,34,Golden State Warriors,118,Brooklyn Nets,111,,17732,Barclays Center
2017-11-19,7:00p,34,Detroit Pistons,100,Minnesota Timberwolves,97,,16069,Target Center
2017-11-19,8:00p,34,Chicago Bulls,105,Phoenix Suns,113,,16264,Talking Stick Resort Arena
2017-11-19,9:30p,34,Denver Nuggets,109,Los Angeles Lakers,127,,18997,Staples Center
2017-11-20,7:00p,35,Minnesota Timberwolves,102,Charlotte Hornets,118,,15978,Spectrum Center
2017-11-20,7:00p,35,Cleveland Cavaliers,116,Detroit Pistons,88,,20491,Little Caesars Arena
2017-11-20,7:00p,35,Indiana Pacers,105,Orlando Magic,97,,17239,Amway Center
2017-11-20,7:00p,35,Utah Jazz,86,Philadelphia 76ers,107,,20587,Wells Fargo Center
2017-11-20,7:30p,35,Los Angeles Clippers,85,New York Knicks,107,,18848,Madison Square Garden
2017-11-20,8:00p,35,Portland Trail Blazers,100,Memphis Grizzlies,92,,15785,FedExForum
2017-11-20,8:00p,35,Washington Wizards,99,Milwaukee Bucks,88,,16122,Fiserv Forum
2017-11-20,8:00p,35,Oklahoma City Thunder,107,New Orleans Pelicans,114,,16765,Smoothie King Center
2017-11-20,8:30p,35,Boston Celtics,110,Dallas Mavericks,102,OT,20302,American Airlines Center
2017-11-20,8:30p,35,Atlanta Hawks,85,San Antonio Spurs,96,,18418,AT&T Center
2017-11-20,10:00p,35,Denver Nuggets,114,Sacramento Kings,98,,17583,Golden 1 Center
2017-11-21,10:30p,36,Chicago Bulls,94,Los Angeles Lakers,103,,18997,Staples Center
2017-11-22,7:00p,37,Washington Wizards,124,Charlotte Hornets,129,OT,16041,Spectrum Center
2017-11-22,7:00p,37,Brooklyn Nets,109,Cleveland Cavaliers,119,,20562,Rocket Mortgage FieldHouse
2017-11-22,7:00p,37,Portland Trail Blazers,81,Philadelphia 76ers,101,,20605,Wells Fargo Center
2017-11-22,7:30p,37,Los Angeles Clippers,116,Atlanta Hawks,103,,12675,State Farm Arena
2017-11-22,7:30p,37,Boston Celtics,98,Miami Heat,104,,19704,American Airlines Arena
2017-11-22,7:30p,37,Toronto Raptors,100,New York Knicks,108,,19812,Madison Square Garden
