MemberID,FirstName,LastName,TeamName
322,DeMar,DeRozan,San Antonio Spurs
323,Drew,Eubanks,San Antonio Spurs
324,Bryn,Forbes,San Antonio Spurs
325,Rudy,Gay,San Antonio Spurs
326,Keldon,Johnson,San Antonio Spurs
327,Trey,Lyles,San Antonio Spurs
328,Chimezie,Metu,San Antonio Spurs
329,Patty,Mills,San Antonio Spurs
330,Dejounte,Murray,San Antonio Spurs
331,Jakob,Poltl,San Antonio Spurs
332,Luka,Samanic,San Antonio Spurs
333,Lonnie,Walker,San Antonio Spurs
334,Quinndary,Weatherspoon,San Antonio Spurs
335,Derrick,White,San Antonio Spurs
336,Will,Barton,Denver Nuggets
337,Keita,Bates-Diop,Denver Nuggets
338,Bol,Bol,Denver Nuggets
339,Vlatko,Cancar,Denver Nuggets
340,Torrey,Craig,Denver Nuggets
341,Troy,Daniels,Denver Nuggets
342,P. J.,Dozier,Denver Nuggets
343,Jerami,Grant,Denver Nuggets
344,Gary,Harris,Denver Nuggets
345,Nikola,Jokic,Denver Nuggets
346,Paul,Millsap,Denver Nuggets
347,Monte,Morris,Denver Nuggets
348,Jamal,Murray,Denver Nuggets
349,Mason,Plumlee,Denver Nuggets
350,Michael,Porter,Denver Nuggets
351,Noah,Vonleh,Denver Nuggets
352,Malik,Beasley,Minnesota Timberwolves
353,Jarrett,Culver,Minnesota Timberwolves
354,Jacob,Evans,Minnesota Timberwolves
355,Juan,Hernangomez,Minnesota Timberwolves
356,James,Johnson,Minnesota Timberwolves
357,Jake,Layman,Minnesota Timberwolves
358,Kelan,Martin,Minnesota Timberwolves
359,Jordan,McLaughlin,Minnesota Timberwolves
360,Jaylen,Nowell,Minnesota Timberwolves
361,Josh,Okogie,Minnesota Timberwolves
362,Naz,Reid,Minnesota Timberwolves
363,D'Angelo,Russell,Minnesota Timberwolves
364,Omari,Spellman,Minnesota Timberwolves
365,Karl-Anthony,Towns,Minnesota Timberwolves
366,Evan,Turner,Minnesota Timberwolves
367,Jarred,Vanderbilt,Minnesota Timberwolves
368,Steven,Adams,Oklahoma City Thunder
369,Darius,Bazley,Oklahoma City Thunder
370,Deonte,Burton,Oklahoma City Thunder
371,Hamidou,Diallo,Oklahoma City Thunder
372,Luguentz,Dort,Oklahoma City Thunder
373,Terrance,Ferguson,Oklahoma City Thunder
374,Danilo,Gallinari,Oklahoma City Thunder
375,Shai,Gilgeous-Alexander,Oklahoma City Thunder
376,Kevin,Hervey,Oklahoma City Thunder
377,Mike,Muscala,Oklahoma City Thunder
378,Abdel,Nader,Oklahoma City Thunder
379,Nerlens,Noel,Oklahoma City Thunder
380,Chris,Paul,Oklahoma City Thunder
